classification,commenttext
DESIGN,classifier role must return received messages cases returns empty list todo must outgoing messages received ones?
DESIGN,argoeventpump event dispatcher handles events global nature entire application todo diagramappearance notation events applicationwide moved someplace specific future managed perproject perdiagram basis
DESIGN,create empty initialized instance uml node return initialized uml node instance todo needs extra parameter specify modelextent new element created
DESIGN,todo fixed subclasses title always localized localization removed
DESIGN,get classifier participant associationend todo rename getparticipant align uml spec tfm param handle associationend get return classifier associationend
DESIGN,determine passed parameter return direction kind todo duplicate link isreturnobject return true return direction kind param handle parameter
DESIGN,todo appropriate templateableelement client list templateparametersubstitution list parameters?
DESIGN,todo actionstate callstate subactivitystate replaced uml explicitly modeled actions
DESIGN,todo silently ignore instead? return false
DESIGN,find icon given model element return icon codenullcode icon param value model element todo use string matching classnames since means knowledge model elements implemented outside model component
DESIGN,initialze gefs version loader todo probably passing icons loaded doesnt seem way gef tfm
DESIGN,return key tag tagged value todo exactly gettagobject remove one param handle tagged value return found value string
DESIGN,todo lots types duration instance interval
DESIGN,todo get metamodel? nonnls
DESIGN,todo get connectors association?
DESIGN,todo remove? cant localized
DESIGN,classifier single unnamed classifierrole todo probably belongs critic instead
DESIGN,part design issue affects member either model element link fig link diagram todo offenders need strongly typed common supertype three types cant type list introduce common supertypeinterface tfm list offenders set eg constructor cannot change
DESIGN,reply set design materials subject todoitem return offenders todo offenders need strongly typed tfm
DESIGN,todo could huge collection find efficient way
DESIGN,todo generalize assumes uml type names unique without qualifying package names true uml
DESIGN,models designers goals making design provides useful control information agency critics relevant designers goals ever executed todo really part domain extension kernel developed part argo much author jason robbins
DESIGN,todo need worry umlclass umlpackage etc?
DESIGN,todo fetch stereotype profile
DESIGN,todo encountering deleted object part traversal abort rest traversal probably whole traversal single mdr transaction
DESIGN,return default type return parameter method return classifier use default type todo belongs projectsettings tfm
DESIGN,todo hold lock entire recursive traversal?
DESIGN,todo add enumerationliteral someplace
DESIGN,todo wellformedness rule uml root cannot generalizations selfisroot implies selfgeneralizationisempty
DESIGN,todo fetch stereotype profile
DESIGN,todo lets build separate buildtoolbar method
DESIGN,todo references concrete factory need factories factory
DESIGN,set target anew todo method never used intention? remove it?
DESIGN,todo first loop count items appears redundant tfm
DESIGN,create new panel given step example given step create first step wizard todo might convient make reusable subclass wizard shows textual steps guide user without automation wizard could easily authored stored xml file efficiently presented reusing single panel single jtextarea param newstep number step make panel return new panel given step
DESIGN,todo tabtodo listen event fires decouple projectbrowser tfm
DESIGN,todo using internal knowledge gef handle tfm
DESIGN,copy file source destination todo perhaps belongs utilities class sort param source source file copied param dest destination file return success status flag
DESIGN,todo using internal knowledge gef handle tfm mvw move something like maininitgef
DESIGN,locale selectionp todo detect available locales available files return locales used argouml
DESIGN,return default type attribute return classifier use default type todo belongs projectsettings tfm
DESIGN,todo unused?
DESIGN,searches typeclassifier name type found new type created added current namespace todo move model subsystem tfm param name typeclassifier found return classifier
DESIGN,todo used elsewhere?
DESIGN,searches typeclassifier name definenew true new type defined typeclassifier found newly created type added currentnamespace given name todo move model subsystem tfm param name typeclassifier found param definenew true define new one return classifier found classifier
DESIGN,moves object trash ie deletes completely dependent structures deleting object involves pre removing target history deleting fig representations object deleting uml element deleting dependent uml modelelements deleting commentedges uml elements move trash enclosed objects ie graphically drawn top move trash subdiagrams object saveguard always least diagram left current diagram deleted select new one show trigger explorer diagram deleted set needssave dirty flag projectmanager pre param obj object deleted see orgargoumlkernelprojectimpltrashinternalobject todo named delete something better tells since really isnt trash
DESIGN,changed uml component subsystem stereotype todo deprecate this?
DESIGN,returns root package return package root deprecated tfmorris use link getroots get packagesmodel elements top level todo probably need getdefaultnamespace method something similar replace uses
DESIGN,updates top level modelelements projects uml model knows root elements could make setroots obsolete eg applying stereotype uml adds new root todo redundant setrootsgetroots already many ways stuff managed without adding additional one current model subsystem implementations know top level elements responsibility moved model subsystem lets choose one way managing
DESIGN,datastructure settings project getters return string since used argotee also reason attributes part map something todo header comment currently used function completely implemented yet store project? user enter header comment? see issue author michiel
DESIGN,notation settings value object stores settings control text rendered diagrams todo needs go diet used everywhere performance sensitive current set settings union found legacy code clear actually used author tom morris tfmorrisgmailcom
DESIGN,calculation ext directory todo eventually make sure calculation present one place code several
DESIGN,contrast link getzipname returns members name without prepended name project extension todo used anywhere shall remove it? author steffen zschaler return members name without prefix suffix
DESIGN,todo end multiple models
DESIGN,deleting last diagram lets create new one todo go mdi wont need
DESIGN,todo used elsewhere?
DESIGN,create notation settings value object default values todo class partial undo support basically members part previous implementation
DESIGN,code copied actionbooleantaggedvalue
DESIGN,temporary solution issue
DESIGN,parse message textual descriptionp todo method complex lets break param umlmessage uml message object apply changes param string parse throws parseexception detects error attribute string see also parseerrorgeterroroffset
DESIGN,temporary solution issue
DESIGN,todo addonly removed uml phase support tfm
DESIGN,save argo entry todo cyclic dependency persistencemanager move persistencemanagergetprojectbasename someplace else
DESIGN,empty done cycle message graph would bad one element model crappy well use one anyway
DESIGN,utility method encode string way allows saved properly xml file regained filtering noice xml framework might seen fit add todo ourselves? surely encoding information xml serialization well known task tfm never understood done think remove usage bob param str string encode return encoded string
DESIGN,may actually make difference present code behind addtrigger needs work
DESIGN,may actually make difference present code behind addtrigger needs work
DESIGN,hence less elegant workaround works
DESIGN,todo used elsewhere?
DESIGN,probably inside xmireaderparse another place source xmireader used appears nsuml xmireader argo xmireader used consistently responsible loading listener
DESIGN,may actually make difference present code behind addtrigger needs work
DESIGN,critic suggest using facade stereotype todo moment dummy implementation see issue
DESIGN,todo progressmgr used here? come from?
DESIGN,todo needed?
DESIGN,could type internal error want handle differently? dont think tfm
DESIGN,todo used elsewhere?
DESIGN,todo fire event projectbrowser register listener
DESIGN,create register diagrams activity statemachines models project diagrams created default class diagram created argouml currently requires least one diagram proper operation todo move xmifilepersister protected param project project
DESIGN,load xmi file pgml files fixme following loading model anything else due zargo containing profiles currently removed hack umlfilepersister think removed also
DESIGN,bufferinputstream aware xml structure searches first occurrence named tag reads data inclusively tag matching end tag search first occurrence named tag read child tags tag expected empty tag todo hardwired assume fixed single byte character encoding needs updated handle different encodings including multibyte encodings tfm author bob tarling
DESIGN,todo attempt move following code gef
DESIGN,todo use stylesheet convert wait till use fig factories diagram subsystem last version used fignote?
DESIGN,todo move diagram subsystem?
DESIGN,set fig style attributes todo move render factories described issue param fig fig style param attributemap map name value pairs
DESIGN,todo move gef
DESIGN,todo without fail draw eg class good solution? layer set constructor?
DESIGN,todo really want able replace initial content handler passed sax cant without cloning whole bunch code private super class
DESIGN,fig created code must go look old style constructor fallen disuse figobject rectangle diagramsettings constructors deprecated least replaced new signature paranoia figs reviewed
DESIGN,fignodemodelelement owner match todo temporary solution due figpool extending fignodemodelelement fact
DESIGN,todo move gef
DESIGN,translate visibility flag fig pgml visibility attribute value pgml values hidden shown specified default return null prevent redundent data written pgml todo remove gef release provided param fig return hidden nullshown
DESIGN,file persister uml model todo empty purpose? tfm author bob tarling
DESIGN,todo sure need safe
DESIGN,open zipinputstream first file found given extension todo remove since duplicate zipfilepersister method refactored persister subsystem param url url zip file param ext required extension return zip stream positioned required location throws ioexception problem opening file
DESIGN,todo doesnt need full profilereference since uses reader handed constructor doesnt make much sense make callers init path name doesnt need author luis sergio oliveira euluis
DESIGN,todo magic number represent here? put explanatory literal! tfm
DESIGN,todo seems like overkill load model get display name thats stored currently tfm
DESIGN,todo appears unused needed model api enhanced provide method directly
DESIGN,todo critics embedded comments actually used anyone?
DESIGN,todo profile loadinghandling needs move someplace model subsystem probably
DESIGN,todo need specific exception type
DESIGN,todo profile isnt used anymore see getmodel
DESIGN,todo absurdly long method! break
DESIGN,todo need specific exception type
DESIGN,todo code cloned again! tfm
DESIGN,settings dialog tab panel layout optionsp todo class contains lot references orgargoumlumlui would probably better move todo class breaks many dependency limitations used anywhere mvw disabled functionality author linus tolke
DESIGN,todo could also support flavors eg image drag modelelements directly wordprocessor inserted image
DESIGN,todo isnt done save?
DESIGN,todo following handling multiselection local solution line color better find general solution dont know undoable way thn
DESIGN,todo following handling multiselection local solution fill color better find general solution dont know undoable way thn
DESIGN,todo need get modelextent package? associated current diagram create new element right place
DESIGN,dialog allows user go diagram project doubleclicking itp dialog modal stay open user working model even possible open multiple dialogs although purpose useraction eludes mep todo dialog multiple tabs named help diagram classifier statevertex etc would allow user go things diagrams author mvw
DESIGN,todo bob says tabs listen target changes register expect detailspane listen pass event otherwise tabs always rely detailspane tabtodotarget tabprops currently listen directly
DESIGN,todo parts argouml preliminary support multiple details panels currently support default south bottom panel
DESIGN,todo check correct
DESIGN,flag indicate main application integrated another top level application eclipse via argoeclipse plugin todo temporary measure projectbrowser refactored appropriately tfm
DESIGN,todo bob says tabs listen target changes register expect detailspane listen pass event otherwise tabs always rely detailspane tabtodotarget tabprops currently listen directly
DESIGN,try save project param overwrite true overwrite without asking param file file save param pmw progressmonitor updated return true successful todo separate swing specific class tfm deprecated bob tarling use trysavewithprogressmonitor
DESIGN,todo work progress allow multiple details panes different contents bob tarling
DESIGN,todo causes cyclic depencency actionsaveproject
DESIGN,todo needs work users set font size gui preference window
DESIGN,loads project displaying nice progressmonitor param overwrite true file going overwritten param file target file todo separate swing specific class tfm param exit true exit argouml done
DESIGN,todo bob says looking focus change flag start interaction detect focus gained prop panel field assumption editing field start good assumption need see get rid
DESIGN,class represents pool swimlanes activity diagrams exists act gef style encloser nodes must placed entirely within outside boundaries fig cannot intersect boundary todo actual model element represented inheriting lot behaviour fignodemodelelement dont want require split fignodemodelelement separate code requires model element owner see issue remark mvw give owner instead? activitygraph obvious candidate maybe top state author mkl
DESIGN,manages progressmonitor dialog note users class use type interface link orgargoumltaskmgmtprogressmonitor wherever possible maintain gui independence author andrea_nironitigrisorg todo bob says dont like naming class confusing called window yet window lets rename hidden
DESIGN,loads project file opens kinds error message windows doesnt work reason cases preserves old project param file file open param showui true error message may shown user false run commandline mode param pmw progressmonitor updated needed use null return true file successfully opened todo separate swing specific class tfm
DESIGN,todo listen file save events tfm
DESIGN,loads project file opens kinds error message windows doesnt work reason cases preserves old project param file file open param showui true error message may shown user false run commandline mode param pmw progressmonitor updated needed use null return project project created based file successfully opened todo separate swing specific class tfm
DESIGN,todo move knowledge behind model facade rather condition here?
DESIGN,command set selected figs minimum size despite name really minimum size selected here! todo rename class author markus klink
DESIGN,fig never placed diagram used call renderer pick list items look like diagram figs todo fig represent model element extend fignodemodelelement split fignodemodelelement two one base functionality nodes one truly model elements
DESIGN,todo code even getting called figgeneralization?
DESIGN,class manage project related actions need historically managed singletons todo unclear whether actually managed singletons ive moved projectbrowser tfm author tom morris
DESIGN,todo shouldnt know internal form type names im sure gefs predicatetype im fixing tfm
DESIGN,todo move different class?
DESIGN,hate much even start writing reinitialising global place noone see feels wrong oh well goes
DESIGN,todo shouldnt know internal form type names im sure gefs predicatetype im fixing tfm
DESIGN,todo fire event projectbrowser register listener
DESIGN,kludge required gefs use hashmap api todo removed ever fix gef use maps
DESIGN,critique menu todo dependency inverted critics subsystem registering desired shortcuts us tfm
DESIGN,genericargomenubar defines menu bar operating systems explicitly ask different kind menu bar mac os menus mnemonics menus menuitems separated propertyresourcebundle emmenupropertiesem menu items separated propertyresourcebundle emactionpropertiesem keys menuproperties following structure pre menu filename menu eg menufile mnemonics menus filename menumnemonic eg menufilemnemonic mnemonics menuitems fileflag itemname menuitemmnemonic eg menuitemnewmnemonic pre todo add registration new menu items deprecated bob tarling class moved made private future use menubarfactorycreateapplicationmenubar
DESIGN,forwards event tree model param element modelelement changed todo shouldnt public components desiring inform explorer changes send events
DESIGN,todo delete available combination model elements diagrams todo shouldnt creating new instance hold delete action central place
DESIGN,adds entry mru list param filename project todo listen file save events rather called directly tfm
DESIGN,todo make sure shouldnt go previous condition tml
DESIGN,todo shouldnt creating new instance hold delete action central place
DESIGN,tree structure changed significantly inform associated tree model todo shouldnt public components desiring inform explorer changes send events deprecated mvw use events instead
DESIGN,todo really care events affect things visible current perspective view could tailored cut event traffic tfm
DESIGN,singleton instance todo singleton? wouldnt better exactly one every explorer?
DESIGN,todo rather specifically ignore item maybe would better specifically state items interest otherwise may still acting events dont need
DESIGN,todo need factory pattern goxxx classes determine required
DESIGN,todo need factory pattern goxxx classes determine required
DESIGN,todo made restrictive? care attributes name? tfm
DESIGN,carried previous implementation sure dont want contents package tfm
DESIGN,todo namespace contain elements dont allow this? tfm
DESIGN,todo really elementmodelelement dont type portable
DESIGN,todo method replaced getclassgetsimplename argo drops support java versions
DESIGN,see orgargoumlcognitivecriticsetheadlinejavalangstring set locale specific text critic headline one liner appears todo pane critic description detailed explanation appears todo tab details pane mvw maybe make part constructor cruml? fixme override nobody uses?
DESIGN,set threshold todo protected? param threshold threshold compare
DESIGN,may actually make difference present code behind addtrigger needs work
DESIGN,todo split one critic inherited problems one problems directly class
DESIGN,todo need generalization named element
DESIGN,may actually make difference present code behind addtrigger needs work
DESIGN,needed?
DESIGN,todo rather specifically ignore item maybe would better specifically state items interest otherwise may still acting events dont need
DESIGN,find figs visualise given model element layer null none todo gef includes method diagram go see orgtigrisgefbasediagrampresentationsforjavalangobject
DESIGN,todo uses last one wins algorithm registration warn factory overwritten
DESIGN,gets font name doesnt exist configuration creates new entries configuration appearance todo create getter? return name configured font
DESIGN,todo trying do? never going get called tfm really dirty hack remove unwanted listeners
DESIGN,todo shouldnt referencing current project instead appropriate undomanager already retrieved correct project
DESIGN,todo needs tidied stable release graph model created constructor
DESIGN,todo given undo manager use rather looking global one
DESIGN,todo replace next deprecated call case complicated use parameters figs work differently
DESIGN,class display graphics uml choice state diagram circle todo really renamed figchoicestate last vestige uml name author pepargouml
DESIGN,todo needs tidied stable release graph model created constructor
DESIGN,todo rather specifically ignore item maybe would better specifically state items interest otherwise may still acting events dont need
DESIGN,todo needed for? tfm
DESIGN,next lines fix nd half issue better way?
DESIGN,return list gravity points around circle enclosed bounding box convenience method use figinitialstate figfinalstate todo method required sub classes would seem sensible extend figstatevertex figcirclevertex relevant concrete figs extend gain functionality return list points
DESIGN,resize new concurrent region added changing height todo probably shouldnt exist class listening added concurrent regions call internally param new height
DESIGN,todo rather specifically ignore item maybe would better specifically state items interest otherwise may still acting events dont need
DESIGN,todo arent items always strings? tfm
DESIGN,actually instanciate netnode fignode objects set global next mode modeplace todo call super reduce code volume! see orgtigrisgefgraphgraphfactorymakenode
DESIGN,todo logic may well worth moving model component provide similar grid connectionsgrid
DESIGN,todo ? class listen model able change live done figs diagram
DESIGN,todo redo curbody long curlanguagebutton
DESIGN,todo needs tidied stable release graph model created constructor
DESIGN,change type need create new initial value display panel todo select type current nothing
DESIGN,todo definitely dont want react addition removal transitions cant specific register listener
DESIGN,target model element umlx element owns expression umlx expression todo makes behaviour different enough separate subclasses considered
DESIGN,field todo textarea textfield
DESIGN,todo rather specifically ignore item maybe would better specifically state items interest otherwise may still acting events dont need
DESIGN,todo mess better solution?
DESIGN,todo use notify set true forward events model one language body fields set true
DESIGN,todo ordered list add right location!
DESIGN,see javabeanspropertychangelistenerpropertychangejavabeanspropertychangeevent todo reviewed see improved view towards removing overrriding methods used workarounds differences nsuml mdr tfm
DESIGN,todo redundant invocation
DESIGN,get classifiers model todo need property panels reference project belong instead using deprecated functionality
DESIGN,todo copied umldiagramrenderer get fignode given layer represents given model element fignode portion association class returned preference figedge portion fignode found figedge searched fignode acts edge port returned param lay layer containing fig param modelelement model element find presentation return fignode presentation model element
DESIGN,todo build return parameter
DESIGN,todo getallpossiblesubvertices getallsubstates duplicates tfm
DESIGN,todo merge multiple inheritance? necessary? currently copies common ancestors multiple times
DESIGN,todo cant depend projectbrowser alternate
DESIGN,todo composite association get deleted automatically thing need check additional elements need deleted result
DESIGN,todo wellformedness rule uml generalizableelement parent generalization element leaf selfparentforalls sisleaf
DESIGN,check arguments parameters type number todo perhaps move critic instead? tfm
DESIGN,todo add standard stereotype? set open ended predefined names include call create instantiate send
DESIGN,todo anyway determine size runtime?
DESIGN,todo taken figclassifierboxwithattribute handle events attribute event handling eventually moved compartment fig attributes
DESIGN,getting events dont want filter todo instruct model event pump send first place? see defect param event event
DESIGN,modelimplgetfacadegetrootelements gets root elements uml repository including available profiles part current project degrades performance projectmanagergetmanagergetcurrentprojectgetroots returns user model roots profiles projectmanagergetmanagergetcurrentprojectgetmodels gets root models root namespaces todo best? way?
DESIGN,todo currently coded actually returns behavioralfeatures owned classifiers contained given namespace slightly different whats documented include behavioralfeatures part namespace dont owner
DESIGN,todo performance consider instantiating outside loops clear point instead
DESIGN,delete model element implements cascading delete make sure model still valid element deletedp actual deletion delegated delete methods rest factories example method deleteclass exists corehelper delete methods deleteclass extra actions necessary deletion modelelement ie deleteclass take care things specific umlclassp delete methods uml factories called directly throughout code! calls always refer method never call deletexxx method xxxfactory directly reason possible call deletexxx methods directly pure implementation detailp implementation method uses quite complicated ifthenelse tree done provide optimal performance full compliance uml metamodel last remark refers fact uml model uses multiple inheritance several places taken accountp todo requirements metamodel could probably better determined reflection metamodel association deleted element participates could reviewed make sure meets requirements deleted tfmp extensions children taken account require extra cleanup actions form call remove method normal children mbase form behaviour want implement via operation param elem element deleted see orgargoumlmodelumlfactorydeletejavalangobject
DESIGN,dont allow connections created read model element todo considered workaround works default place newly created relationships namespace fromelement correct behavior presence readonly elements really depends type connection well writeability ends
DESIGN,todo taken figclassifierboxwithattribute handle events attribute event handling eventually moved compartment fig attributes
DESIGN,array valid connections combination connecting class node classes must exist row list considered valid ul lithe st column connecting element lithe nd column element type lithe rd column element type rd column optional given assumed element lithe existence th column indicates connection valid one direction ul todo encodes legal uml also argouml knows create legal connections included probably split two pieces legal uml supported argouml application someplace tfm see also issue subtypes relationship includes association dependency flow generalization extend include dependency includes binding abstraction usage permission associationrole associationclass associations remaining items link transition associationend message nonrelationship types argouml treats connectionsedges
DESIGN,todo check duplicates possible???
DESIGN,todo also code registering names tagged value like derived
DESIGN,recursive method get subtypes todo scalability problem?
DESIGN,todo bob says listening addition removal attributes done figattributescompartment
DESIGN,dont wait well deadlock! todo might want throw exception
DESIGN,todo must calculate whole list?
DESIGN,todo replace recursive function loop like getroot
DESIGN,todo get called every change event model state flux well often get invalidelementexception finish collection saving grace called many times last time things stable well get good set elements final update need better mechanism
DESIGN,updates compartment box called updatelayout model event effecting attributesoperations renderingchanged cases todo statement means entire contents compartments rebuilt whenever addremove attribute operation reception detected would better compartments listen add remove events make minimum change rather entirely rebuild remark mvw bit exaggerated since populate method already heavily optimized
DESIGN,todo reconfigure exception handling distinguish errors possible due bad input data represent unexpected processing errors
DESIGN,todo callers need refactored work around change way multiplicities work tfm
DESIGN,stereotypes todo arent stereotypes handled elsewhere?
DESIGN,todo get called every change event model state flux well often get invalidelementexception finish collection saving grace called many times last time things stable well get good set elements final update need better mechanism
DESIGN,todo elements generalization longer named transitional period well return string debug continue calling code probably fixed tfm bob says comments facadeeumlimplgetname trick needed
DESIGN,map resources readonly todo needs managed per editingdomain
DESIGN,todo mvw would better code would go starttexteditor overruling mouseclicked made fig editable stop reacting keypresses anyhow hack abusing figtext gef really support doubleclicking fig trigger action
DESIGN,todo corehelpergetextendingclassifiersobject element means direct indirect extending classifiers direct extending classifiers?
DESIGN,todo code appears designed jump diagram containing contents package double clicked looks like always searching name main instead package name todo case delegating work something knows diagrams contents tfm
DESIGN,todo behavior case nested models?
DESIGN,todo returning extended elements base classes?
DESIGN,todo instancespecification classifier association isnt navigable direction
DESIGN,model element removed packages namespace fig representing model element diagram package make sure enclosed package todo view fig representing model element removed diagram yet agreed bob
DESIGN,todo seems work loops check
DESIGN,todo needs double checked tfm
DESIGN,used pgmltee return class name bounds together compartment visibility todo duplicate parent?
DESIGN,node cannot dragged manipulated way fignodes argouml actually optional child fig precisely path item figedgemodelelement allows dashed edge association class connect association edge allows dashed edge comment edge attach comment edge type gef attach edges nodes making fig node containing child edge push rules allow edge edge connections todo inheriting lot functionality dont really require attempt make figedgeport extend fignode author bob tarling
DESIGN,todo temporary crutch use figs updated use constructor accepts diagramsettings object
DESIGN,searches stereotype like given stereotype given models subnamespaces given stereotype namespace set yet otherwise returned itself! todo function take stereotype object parameter name baseclass todo currently works stereotypes one baseclass todo search stereotypes owned model object? param models collection models param stereo given stereotype return stereotype
DESIGN,finds stereotype given namespace subnamespace given namespace returns null stereotype found todo stereogetname stereogetbaseclass null? know immediately none found correct answer? currently null returned cases todo function take stereotype object parameter name baseclass todo currently works stereotypes one baseclass todo currently works stereotypes baseclass equal given one inheritance work return stereotype found null param ns namespace param stereo stereotype
DESIGN,creates uml model element given type works uml elements diagram contains elements another type responsibility diagram manage items call method also works uml model elements represented diagrams node param elementtype type model element build return model element todo needs extra parameter specify modelextent new element created
DESIGN,builds compositestate top statemachinep todo confusing name method better named buildtopstateonstatemachine param statemachine given statemachine return mcompositestate newly build top state see buildcompositestateobject
DESIGN,todo mvw needs rethinkingrework! following questions search stereotype namespace using properties create new stereotype actually used? ie getstereotypestring name string baseclass? edited dmst
DESIGN,todo functionality worn place able call setvisible compartment class react event improvements follow later releases hence method considered stable module developers param compartment compartment changed param isvisible true attribute compartment visible
DESIGN,todo become private called constructor see orgargoumlumldiagramuifigcompartmentpopulate
DESIGN,remove items group otherwise model event listeners remain todo figgroup this?
DESIGN,todo uml classifierrole associationrole associationendrole replaced internal structure collaboration
DESIGN,todo populate works seems rather heavy see something like needed though events wont manage quick enough could make figeditablecompartmentcreatemodelelement create new child fig instance? may also useful return new model element rather current void return bob
DESIGN,todo neededcorrect? compartments hidden?
DESIGN,tag set elements generated reference importing set critics could ignore objects want todo really belongs higher level utility class uses facades tagged value methods also needs updated use uml tagdefinition instead simple string
DESIGN,recognizer nary association todo recognizer type rename isnaryassociation? param handle candidate return true handle association
DESIGN,todo needed?
DESIGN,builds interface given name param name given name return interface todo needs extra parameter specify modelextent new element created
DESIGN,builds default implementation interface interface owned model element default users forget add ownership return interface todo needs extra parameter specify modelextent new element created
DESIGN,check labels etc hit apparently gef require pathitems annotations arent resolved
DESIGN,create empty initialized instance uml templateparameter return initialized uml templateparameter instance todo needs extra parameter specify modelextent new element created
DESIGN,builds default implementation class class owned model element default users forget add ownership return newly created class todo needs extra parameter specify modelextent new element created
DESIGN,create empty initialized instance uml usage return initialized uml usage instance todo needs extra parameter specify modelextent new element created
DESIGN,create empty initialized instance uml permission return initialized uml permission instance todo needs extra parameter specify modelextent new element created deprecated tfmorris renamed uml packageimport use link createpackageimport
DESIGN,create empty initialized instance uml permission return initialized uml permission instance todo needs extra parameter specify modelextent new element created
DESIGN,action add stereotype model element todo appears unused? author bob tarling deprecated tfmorris use link orgargoumlumlactionaddstereotype
DESIGN,returns destination relation link destination relation defined modelelement receives relation destinations first returned destination null returned examples sources include classifiers types associationends usecases bases extend include relations case association destination defined type second element connections listp todo move method generic modelhelper param relationship relation return object
DESIGN,return source relation link source relation defined modelelement propagates relation sources first returned source null returned examples sources include classifiers types associationends usecases bases extend include relations source always start arrow fig destination endp todo move method generic modelhelper param relationship relation return object
DESIGN,sets language expression todo operation fooling user thinking body object changed instead new object created way mexpression altered created! operation returns newly created object instead param handle expression param language new language return newly created object
DESIGN,todo remove casting diagramfactoryinterface soon diagramfactoryinterface removed
DESIGN,todo critics actions introduces unnecessary dependency critics subsystem register desired actions using extension mechanism tfm
DESIGN,true instance allowed invisible currently set true figedgeport todo figedgeport removed fignodemodelelement hierarchy need removed
DESIGN,todo really want class package scope however reflection
DESIGN,todo lots lots magic numbers used calculating positions sizes time see figs placed use constants instead reliably interpret calculations factor well add additional constants needed express common factors tfm
DESIGN,name set empty string yuck! default fix
DESIGN,todo note copypaste code figexitpoint code better placed gef?
DESIGN,todo remove casting diagramfactoryinterface soon diagramfactoryinterface removed
DESIGN,find model element modelelements name equal name param name name model element find cant null param modelelements link collection model elements find model element name return model element found null todo maybe moved helper class deals model related stuff
DESIGN,todo really set profile instead depending default depends default profile configuration containing type integer test properly otherwise get created main project defeating purpose
DESIGN,called propertychanged detects stereotype added removed removal fignode removes listener stereotype new stereotype detected add listener todo bob says opinion shouldnt figstereotype always listening change owners name figstereotypescompartment always listening add remove stereotypes owner classes need pass event fignode awt thread change results change size requires redraw pnote runs model mdr thread param event umlchangeevent caused change
DESIGN,todo want top level package instead immediate parent?
DESIGN,todo creates dependency critics subsystem need generic way modules including internal subsystems request addition actions popup menu tfm
DESIGN,template method called argouml framework result change model element call method directly poverride subclasses order change model elements fignode listening result change model pthis method guaranteed framework running thread model subsystemp todo lets refactor time take umlchangeevent argument param event umlchangeevent caused change
DESIGN,todo generalize extension remove critic specific code
DESIGN,todo required? would fig already dashed? see orgtigrisgefpresentationfigedgesetfig orgtigrisgefpresentationfig
DESIGN,prevent underline events underline change todo gef manage gef included
DESIGN,todo generalize extension remove critic specific stuff
DESIGN,shall dependency
DESIGN,todo use following function dropdown set tools toolbarfactoryadditemstotoolbarbuttonpanel actions true instead temporary solution param buttonpanel toolbar param actions array actions representing tool layout
DESIGN,todo mvw done gef?
DESIGN,todo use following function dropdown set tools toolbarfactoryadditemstotoolbarbuttonpanel actions true instead temporary solution param buttonpanel toolbar param actions array actions representing tool layout
DESIGN,todo shouldnt need reflection convinced everything getitemuid method implementing iitemuid
DESIGN,todo figure getting thrown throw new unsupportedoperationexception
DESIGN,constraint code deals supplier per dependency! todo support more? see orgargoumlumluiabstractactionaddmodelelementdoitjavautillist
DESIGN,todo namespace created events currently model think wrong namespace activitygraph! vecaddall modelgetmodelmanagementhelpergetallmodelelementsofkind modelgetfacadegetnamespacegettarget modelgetmetatypesgetevent
DESIGN,changes font figs contained given figgroup todo fact design error method eg class name italic since class abstract classes features plain font problem fixed implementing updatefont method subclasses param fg figgroup change font
DESIGN,todo namespace enlisted events currently model think wrong namespace activitygraph! vecaddallmodelgetmodelmanagementhelpergetallmodelelementsofkind modelgetfacadegetnamespacegettarget modelgetmetatypesgetevent
DESIGN,todo move figgroup gef param scb suppresscalcbounds set
DESIGN,todo find way replace dependency project
DESIGN,update titlelabel mvw overrules icon set initiallly need this?
DESIGN,todo function attempts optimize generic code parent also works correctly case good idea?
DESIGN,creates new checkbox menu item attached specified action object appends end menu todo almost duplicate argojmenuaddcheckitem must find way merge param action checkbox menu item added return new checkbox menu item
DESIGN,todo temporary crutch use figs updated use constructor accepts diagramsettings object
DESIGN,todo dthompson mouseclickedme consumes mouse event internally suspect line might necessary
DESIGN,todo cyclic dependency selectionrerouteedge figedgemodelelement
DESIGN,actionaddexistingnode enables pasting existing node diagram author eugenio alvarez data access technologies todo class well actionaddexistingnodes?
DESIGN,constructor todo name parameter used icon tooltip makes tooltip impossible param modeclass next global editor mode param modeargs arguments new mode param name name command tooltip text
DESIGN,fix bad figs due errors earlier releases argouml happen generalization without child parent todo move xsl remove graph model writing possible cause concurrent modification exception param owner
DESIGN,todo doesnt work reliably constructor need better way getting default fig settings owning project rather using project manager singleton tfm
DESIGN,defines methods generate source code model class providing code generation functionality must implement recognized argouml code generator todo guiindependent mechanism pass settings code generator needed similar reverse engineering see link orgargoumlumlrevengimportinterfacegetimportsettings link orgargoumlumlrevengsettingstypes since replaced filegenerator interface
DESIGN,todo creates dependency critics subsystem need generic way modules including internal subsystems request addition actions popup menu tfm
DESIGN,changes font figs contained given figgroup todo fact design error method eg class name italic since class abstract classes features plain font problem fixed implementing updatefont method subclasses param fg figgroup change font
DESIGN,hack dont show first column model element object placed
DESIGN,todo doesnt matter get set gef cant draw anything except pixel wide lines
DESIGN,todo workaround gef redraw problem force child figs layer
DESIGN,looking namedelement since always name modelelement alone
